Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Year,Conf Record,Away,Home,SOS
280,Bucknell,Pat,33,14–19,98.9,107.8,0.2701,50.4,49.5,18.9,16.4,25.9,28.6,29.0,31.5,50.2,50.1,33.8,32.4,44.9,42.2,65.8,-14.6,2024,10–8,,Bucknell,0.3450367124685359
281,Niagara,MAAC,29,14–15,102.4,111.7,0.2683,51.8,52.2,17.1,16.1,23.5,27.0,36.5,30.7,50.6,51.9,36.3,35.3,31.3,27.7,68.3,-11.6,2024,11–9,,Niagara,0.3337168046971888
282,Texas Southern,SWAC,28,13–15,96.7,105.7,0.2646,46.7,48.6,18.4,18.0,30.0,30.3,30.8,39.4,46.3,48.3,31.5,32.8,39.1,36.1,68.9,-9.8,2024,12–6,,Texas Southern,0.3472936111326529
283,SIU Edwardsville,OVC,30,14–16,100.5,109.8,0.2645,47.2,51.1,15.6,17.4,30.1,28.2,31.9,37.2,46.2,49.2,32.5,36.2,36.8,37.5,67.8,-12.0,2024,9–9,,SIU Edwardsville,0.3092772701261058
284,Georgia Southern,SB,33,9–24,103.6,113.3,0.2635,50.8,52.0,18.8,17.3,28.8,33.9,28.9,43.1,49.3,51.4,35.2,35.5,44.6,36.4,69.8,-17.9,2024,8–10,,Georgia Southern,0.4450882498105221
285,USC Upstate,BSth,27,7–20,99.5,109.1,0.2586,49.6,52.0,16.4,18.6,23.9,34.3,29.5,45.0,50.2,53.0,32.5,33.5,39.9,35.7,68.0,-15.3,2024,5–11,,USC Upstate,0.4106634858844297
286,Tennessee St.,OVC,29,14–15,98.3,107.8,0.2562,48.8,48.8,19.7,18.6,28.4,32.0,38.1,44.3,49.8,48.6,31.3,32.7,35.9,34.3,69.2,-11.4,2024,10–8,,Tennessee St.,0.2893711713391323
287,Jackson St.,SWAC,31,15–16,100.4,110.2,0.2548,47.4,52.6,19.1,18.9,34.4,31.6,34.6,34.3,46.4,52.3,32.9,35.4,33.7,39.7,69.9,-10.7,2024,11–7,,Jackson St.,0.3556244843891836
288,FIU,CUSA,30,9–21,99.9,109.7,0.2543,49.5,55.9,19.0,24.3,27.5,36.7,28.1,36.5,50.2,52.8,32.3,40.8,41.9,36.5,71.4,-15.7,2024,5–11,,FIU,0.4509307243268523
289,Northern Illinois,MAC,29,9–20,102.2,112.5,0.2498,49.8,52.9,18.1,14.3,28.0,31.2,36.2,34.7,50.2,51.8,32.7,36.7,39.1,35.8,69.1,-14.3,2024,5–13,,Northern Illinois,0.4434693826959279
290,American,Pat,31,15–16,103.2,113.6,0.249,52.5,53.4,17.3,17.0,27.9,25.6,28.4,29.8,52.8,51.9,34.7,36.9,44.9,42.3,63.8,-12.5,2024,10–8,,American,0.2814521672922364
291,Alcorn St.,SWAC,30,13–17,105.8,116.5,0.2477,49.1,55.3,16.9,17.2,33.7,30.5,37.1,36.3,48.2,54.3,34.3,37.7,26.5,46.0,67.6,-10.4,2024,13–5,,Alcorn St.,0.3970796783540979
292,Valparaiso,MVC,31,6–25,99.3,109.3,0.2476,46.2,54.5,15.9,17.3,25.7,30.3,23.3,30.7,45.0,55.0,32.1,35.8,36.3,35.2,68.8,-17.4,2024,3–17,,Valparaiso,0.5366649987134583
